동별,연령별,항목,2022 년
합계,계,계,9667669
합계,계,한국인,9428372
합계,계,외국인,239297
합계,0~4세,계,232724
합계,0~4세,한국인,227619
합계,0~4세,외국인,5105
합계,5~9세,계,323365
합계,5~9세,한국인,317698
합계,5~9세,외국인,5667
합계,10~14세,계,366579
합계,10~14세,한국인,362502
합계,10~14세,외국인,4077
합계,15~19세,계,394995
합계,15~19세,한국인,386616
합계,15~19세,외국인,8379
합계,20~24세,계,621697
합계,20~24세,한국인,578374
합계,20~24세,외국인,43323
합계,25~29세,계,844569
합계,25~29세,한국인,811109
합계,25~29세,외국인,33460
합계,30~34세,계,782681
합계,30~34세,한국인,758697
합계,30~34세,외국인,23984
합계,35~39세,계,688408
합계,35~39세,한국인,667111
합계,35~39세,외국인,21297
합계,40~44세,계,747974
합계,40~44세,한국인,730905
합계,40~44세,외국인,17069
합계,45~49세,계,733400
합계,45~49세,한국인,718801
합계,45~49세,외국인,14599
합계,50~54세,계,821140
합계,50~54세,한국인,801828
합계,50~54세,외국인,19312
합계,55~59세,계,713186
합계,55~59세,한국인,690974
합계,55~59세,외국인,22212
합계,60~64세,계,729540
합계,60~64세,한국인,717931
합계,60~64세,외국인,11609
합계,65~69세,계,585417
합계,65~69세,한국인,579856
합계,65~69세,외국인,5561
합계,70~74세,계,410611
합계,70~74세,한국인,408481
합계,70~74세,외국인,2130
합계,75~79세,계,305700
합계,75~79세,한국인,305015
합계,75~79세,외국인,685
합계,80~84세,계,219981
합계,80~84세,한국인,219561
합계,80~84세,외국인,420
합계,85~89세,계,101884
합계,85~89세,한국인,101648
합계,85~89세,외국인,236
합계,90~94세,계,34635
합계,90~94세,한국인,34536
합계,90~94세,외국인,99
합계,95~99세,계,7864
합계,95~99세,한국인,7818
합계,95~99세,외국인,46
합계,100세 이상,계,1319
합계,100세 이상,한국인,1292
합계,100세 이상,외국인,27
종로구,계,계,152211
종로구,계,한국인,141379
종로구,계,외국인,10832
종로구,0~4세,계,2694
종로구,0~4세,한국인,2512
종로구,0~4세,외국인,182
종로구,5~9세,계,4100
종로구,5~9세,한국인,3891
종로구,5~9세,외국인,209
종로구,10~14세,계,4930
종로구,10~14세,한국인,4718
종로구,10~14세,외국인,212
종로구,15~19세,계,5948
종로구,15~19세,한국인,5369
종로구,15~19세,외국인,579
종로구,20~24세,계,13088
종로구,20~24세,한국인,9563
종로구,20~24세,외국인,3525
종로구,25~29세,계,14547
종로구,25~29세,한국인,12721
종로구,25~29세,외국인,1826
종로구,30~34세,계,11419
종로구,30~34세,한국인,10553
종로구,30~34세,외국인,866
종로구,35~39세,계,9553
종로구,35~39세,한국인,8789
종로구,35~39세,외국인,764
종로구,40~44세,계,10477
종로구,40~44세,한국인,9812
종로구,40~44세,외국인,665
종로구,45~49세,계,10651
종로구,45~49세,한국인,10132
종로구,45~49세,외국인,519
종로구,50~54세,계,13230
종로구,50~54세,한국인,12745
종로구,50~54세,외국인,485
종로구,55~59세,계,11928
종로구,55~59세,한국인,11471
종로구,55~59세,외국인,457
종로구,60~64세,계,11688
종로구,60~64세,한국인,11399
종로구,60~64세,외국인,289
종로구,65~69세,계,9047
종로구,65~69세,한국인,8902
종로구,65~69세,외국인,145
종로구,70~74세,계,6251
종로구,70~74세,한국인,6184
종로구,70~74세,외국인,67
종로구,75~79세,계,5237
종로구,75~79세,한국인,5220
종로구,75~79세,외국인,17
종로구,80~84세,계,4358
종로구,80~84세,한국인,4345
종로구,80~84세,외국인,13
종로구,85~89세,계,2117
종로구,85~89세,한국인,2109
종로구,85~89세,외국인,8
종로구,90~94세,계,729
종로구,90~94세,한국인,725
종로구,90~94세,외국인,4
종로구,95~99세,계,190
종로구,95~99세,한국인,190
종로구,95~99세,외국인,0
종로구,100세 이상,계,29
종로구,100세 이상,한국인,29
종로구,100세 이상,외국인,0
사직동,계,계,9355
사직동,계,한국인,9087
사직동,계,외국인,268
사직동,0~4세,계,187
사직동,0~4세,한국인,178
사직동,0~4세,외국인,9
사직동,5~9세,계,340
사직동,5~9세,한국인,335
사직동,5~9세,외국인,5
사직동,10~14세,계,341
사직동,10~14세,한국인,333
사직동,10~14세,외국인,8
사직동,15~19세,계,335
사직동,15~19세,한국인,332
사직동,15~19세,외국인,3
사직동,20~24세,계,425
사직동,20~24세,한국인,412
사직동,20~24세,외국인,13
사직동,25~29세,계,690
사직동,25~29세,한국인,672
사직동,25~29세,외국인,18
사직동,30~34세,계,786
사직동,30~34세,한국인,761
사직동,30~34세,외국인,25
사직동,35~39세,계,715
사직동,35~39세,한국인,677
